Operation,Cache Size,Result
Operation 1,0,-1
Operation 2,1,N/A
Operation 3,1,40
Operation 4,1,-1
Operation 5,2,N/A
Operation 6,2,-1
Operation 7,3,N/A
Operation 8,3,50
Operation 9,4,N/A
Operation 10,4,40
Operation 11,4,50
Operation 12,5,N/A
Operation 13,5,-1
Operation 14,6,N/A
Operation 15,6,60
Operation 16,6,-1
Operation 17,7,N/A
Operation 18,7,-1
Operation 19,7,70
Operation 20,8,N/A
Operation 21,9,N/A
Operation 22,9,80
Operation 23,9,90
Operation 24,10,N/A
Operation 25,10,40
Operation 26,10,N/A
Operation 27,10,-1
Operation 28,10,-1
Operation 29,10,N/A
Operation 30,10,-1
Operation 31,10,-1
Operation 32,10,N/A
Operation 33,10,-1
Operation 34,10,N/A
Operation 35,10,-1
Operation 36,10,N/A
Operation 37,10,40
Operation 38,10,50
Operation 39,10,N/A
Operation 40,10,-1
Operation 41,10,N/A
Operation 42,10,60
Operation 43,10,-1
Operation 44,10,N/A
Operation 45,10,-1
Operation 46,10,70
Operation 47,10,N/A
Operation 48,10,N/A
Operation 49,10,80
Operation 50,10,90
Operation 51,10,N/A
Operation 52,10,40
Operation 53,10,N/A
Operation 54,10,-1
Operation 55,10,-1
Operation 56,10,N/A
Operation 57,10,-1
Operation 58,10,-1
Operation 59,10,N/A
Operation 60,10,-1
Operation 61,10,N/A
Operation 62,10,-1
Operation 63,10,N/A
Operation 64,10,40
Operation 65,10,50
Operation 66,10,N/A
Operation 67,10,-1
Operation 68,10,N/A
Operation 69,10,60
Operation 70,10,-1
Operation 71,10,N/A
Operation 72,10,-1
Operation 73,10,70
Operation 74,10,N/A
Operation 75,10,N/A
Operation 76,10,80
Operation 77,10,90
Operation 78,10,N/A
Operation 79,10,40
Operation 80,10,N/A
Operation 81,10,-1
Operation 82,10,-1
Operation 83,10,N/A
Operation 84,10,-1
Operation 85,10,-1
Operation 86,10,N/A
Operation 87,10,-1
Operation 88,10,N/A
Operation 89,10,-1
Operation 90,10,N/A
Operation 91,10,40
Operation 92,10,50
Operation 93,10,N/A
Operation 94,10,-1
Operation 95,10,N/A
Operation 96,10,60
Operation 97,10,-1
Operation 98,10,N/A
Operation 99,10,-1
Operation 100,10,70
Operation 101,10,N/A
Operation 102,10,N/A
Operation 103,10,80
Operation 104,10,90
Operation 105,10,N/A
Operation 106,10,40
Operation 107,10,N/A
Operation 108,10,-1
Operation 109,10,-1
Operation 110,10,N/A
Operation 111,10,-1
Operation 112,10,-1
Operation 113,10,N/A
Operation 114,10,-1
Operation 115,10,N/A
Operation 116,10,-1
Operation 117,10,N/A
Operation 118,10,40
Operation 119,10,50
Operation 120,10,N/A
Operation 121,10,-1
Operation 122,10,N/A
Operation 123,10,60
Operation 124,10,-1
Operation 125,10,N/A
Operation 126,10,-1
Operation 127,10,70
Operation 128,10,N/A
Operation 129,10,N/A
Operation 130,10,80
Operation 131,10,90
Operation 132,10,N/A
Operation 133,10,40
Operation 134,10,N/A
Operation 135,10,-1
Operation 136,10,-1
Operation 137,10,N/A
Operation 138,10,-1
Operation 139,10,-1
Operation 140,10,N/A
Operation 141,10,-1
Operation 142,10,N/A
Operation 143,10,-1
Operation 144,10,N/A
Operation 145,10,40
Operation 146,10,50
Operation 147,10,N/A
Operation 148,10,-1
Operation 149,10,N/A
Operation 150,10,60
