Operation,Cache Size,Result
Operation 1,0,-1
Operation 2,1,N/A
Operation 3,1,40
Operation 4,1,-1
Operation 5,2,N/A
Operation 6,2,-1
Operation 7,3,N/A
Operation 8,3,50
Operation 9,4,N/A
Operation 10,4,40
Operation 11,4,50
Operation 12,4,N/A
Operation 13,4,-1
Operation 14,4,N/A
Operation 15,4,-1
Operation 16,4,-1
Operation 17,4,N/A
Operation 18,4,-1
Operation 19,4,-1
Operation 20,4,N/A
Operation 21,4,N/A
Operation 22,4,-1
Operation 23,4,90
Operation 24,4,N/A
Operation 25,4,-1
Operation 26,4,N/A
Operation 27,4,-1
Operation 28,4,-1
Operation 29,4,N/A
Operation 30,4,-1
Operation 31,4,-1
Operation 32,4,N/A
Operation 33,4,-1
Operation 34,4,N/A
Operation 35,4,-1
Operation 36,4,N/A
Operation 37,4,40
Operation 38,4,50
Operation 39,4,N/A
Operation 40,4,-1
Operation 41,4,N/A
Operation 42,4,-1
Operation 43,4,-1
Operation 44,4,N/A
Operation 45,4,-1
Operation 46,4,-1
Operation 47,4,N/A
Operation 48,4,N/A
Operation 49,4,-1
Operation 50,4,90
Operation 51,4,N/A
Operation 52,4,-1
Operation 53,4,N/A
Operation 54,4,-1
Operation 55,4,-1
Operation 56,4,N/A
Operation 57,4,-1
Operation 58,4,-1
Operation 59,4,N/A
Operation 60,4,-1
Operation 61,4,N/A
Operation 62,4,-1
Operation 63,4,N/A
Operation 64,4,40
Operation 65,4,50
Operation 66,4,N/A
Operation 67,4,-1
Operation 68,4,N/A
Operation 69,4,-1
Operation 70,4,-1
Operation 71,4,N/A
Operation 72,4,-1
Operation 73,4,-1
Operation 74,4,N/A
Operation 75,4,N/A
Operation 76,4,-1
Operation 77,4,90
Operation 78,4,N/A
Operation 79,4,-1
Operation 80,4,N/A
Operation 81,4,-1
Operation 82,4,-1
Operation 83,4,N/A
Operation 84,4,-1
Operation 85,4,-1
Operation 86,4,N/A
Operation 87,4,-1
Operation 88,4,N/A
Operation 89,4,-1
Operation 90,4,N/A
Operation 91,4,40
Operation 92,4,50
Operation 93,4,N/A
Operation 94,4,-1
Operation 95,4,N/A
Operation 96,4,-1
Operation 97,4,-1
Operation 98,4,N/A
Operation 99,4,-1
Operation 100,4,-1
Operation 101,4,N/A
Operation 102,4,N/A
Operation 103,4,-1
Operation 104,4,90
Operation 105,4,N/A
Operation 106,4,-1
Operation 107,4,N/A
Operation 108,4,-1
Operation 109,4,-1
Operation 110,4,N/A
Operation 111,4,-1
Operation 112,4,-1
Operation 113,4,N/A
Operation 114,4,-1
Operation 115,4,N/A
Operation 116,4,-1
Operation 117,4,N/A
Operation 118,4,40
Operation 119,4,50
Operation 120,4,N/A
Operation 121,4,-1
Operation 122,4,N/A
Operation 123,4,-1
Operation 124,4,-1
Operation 125,4,N/A
Operation 126,4,-1
Operation 127,4,-1
Operation 128,4,N/A
Operation 129,4,N/A
Operation 130,4,-1
Operation 131,4,90
Operation 132,4,N/A
Operation 133,4,-1
Operation 134,4,N/A
Operation 135,4,-1
Operation 136,4,-1
Operation 137,4,N/A
Operation 138,4,-1
Operation 139,4,-1
Operation 140,4,N/A
Operation 141,4,-1
Operation 142,4,N/A
Operation 143,4,-1
Operation 144,4,N/A
Operation 145,4,40
Operation 146,4,50
Operation 147,4,N/A
Operation 148,4,-1
Operation 149,4,N/A
Operation 150,4,-1
